seed,rank_ic,n_months,arm
100,0.06025611068299732,97,temporal_on
101,0.026271299678076687,87,temporal_on
102,0.022908651118314367,100,temporal_on
103,0.02610805998792915,91,temporal_on
104,0.05862388441184462,109,temporal_on
105,0.03007411941243556,87,temporal_on
106,0.019674270914568304,98,temporal_on
107,0.026047048207604204,111,temporal_on
108,0.03851902894601311,59,temporal_on
109,0.02929327455568865,91,temporal_on
100,0.03865166558596474,115,temporal_off
101,0.023820250569426892,115,temporal_off
102,0.024644086379445183,115,temporal_off
103,0.021856891397228382,115,temporal_off
104,0.03537892599046184,115,temporal_off
105,0.03234715330639339,115,temporal_off
106,0.03802908791844793,115,temporal_off
107,0.03731481150163603,115,temporal_off
108,0.033972092695149544,115,temporal_off
109,0.04867943182956424,115,temporal_off
