seed,fold_name,rank_ic,n_months,arm
100,fold_01,0.09503817634012787,8,temporal_on
100,fold_02,0.10946034056792811,23,temporal_on
100,fold_03,0.05795010645047333,24,temporal_on
100,fold_04,0.030298893726931703,24,temporal_on
100,fold_05,0.024942971567202835,18,temporal_on
101,fold_01,0.006336594522301391,24,temporal_on
101,fold_02,0.055843015305552066,23,temporal_on
101,fold_03,0.02617591428533703,23,temporal_on
101,fold_04,0.10816420407137775,2,temporal_on
101,fold_05,0.002050734314948925,15,temporal_on
102,fold_01,-0.001957770780261174,24,temporal_on
102,fold_02,0.06906700892661917,23,temporal_on
102,fold_03,0.07892109318902545,24,temporal_on
102,fold_04,-0.14349921232362592,11,temporal_on
102,fold_05,0.024094194681596556,18,temporal_on
103,fold_01,0.032482941460977646,24,temporal_on
103,fold_02,0.12821705612129686,23,temporal_on
103,fold_03,-0.07008687340546353,2,temporal_on
103,fold_04,-0.032856540153216145,24,temporal_on
103,fold_05,-0.023556595359090222,18,temporal_on
104,fold_01,0.06026102838587513,24,temporal_on
104,fold_02,0.06934078972396196,23,temporal_on
104,fold_03,0.07944977972763534,23,temporal_on
104,fold_04,0.027801653342784085,24,temporal_on
104,fold_05,0.056954396134433656,15,temporal_on
105,fold_01,0.0570258084258652,23,temporal_on
105,fold_02,0.0733016453028295,23,temporal_on
105,fold_03,0.06510676582472172,2,temporal_on
105,fold_04,-0.032856540153216145,24,temporal_on
105,fold_05,0.018484025676643968,15,temporal_on
106,fold_01,0.024844234598279745,23,temporal_on
106,fold_02,0.12218958536180448,23,temporal_on
106,fold_03,0.011745137420924989,23,temporal_on
106,fold_04,-0.1704233711026456,11,temporal_on
106,fold_05,0.008378867332976882,18,temporal_on
107,fold_01,0.029825289615495937,24,temporal_on
107,fold_02,0.09078395495048873,23,temporal_on
107,fold_03,-0.0017579458113111824,23,temporal_on
107,fold_04,0.020134520211294697,23,temporal_on
107,fold_05,-0.018626487488260957,18,temporal_on
108,fold_01,0.21472981414035014,2,temporal_on
108,fold_02,0.2439343044707184,2,temporal_on
108,fold_03,0.06262146165510439,23,temporal_on
108,fold_04,-0.00014195626740194149,14,temporal_on
108,fold_05,-0.004611764429507656,18,temporal_on
109,fold_01,0.028884036111104777,24,temporal_on
109,fold_02,0.1794977948474829,2,temporal_on
109,fold_03,0.021798935044882038,23,temporal_on
109,fold_04,0.02482011711405745,24,temporal_on
109,fold_05,0.028689845079806726,18,temporal_on
100,fold_01,0.012234373388064395,24,temporal_off
100,fold_02,0.05752859877003876,24,temporal_off
100,fold_03,0.039679012676209095,24,temporal_off
100,fold_04,0.03803789227358616,24,temporal_off
100,fold_05,0.04765392062086228,19,temporal_off
101,fold_01,0.003002084645940028,24,temporal_off
101,fold_02,0.06747380268687274,24,temporal_off
101,fold_03,0.03546652591498426,24,temporal_off
101,fold_04,0.009849987432325782,24,temporal_off
101,fold_05,-0.002088884254676588,19,temporal_off
102,fold_01,-0.003882584321297513,24,temporal_off
102,fold_02,0.06086154036610345,24,temporal_off
102,fold_03,0.04843915586108071,24,temporal_off
102,fold_04,-0.007277541102048288,24,temporal_off
102,fold_05,0.025194538649688205,19,temporal_off
103,fold_01,-0.021789280944983978,24,temporal_off
103,fold_02,0.05150533902071391,24,temporal_off
103,fold_03,0.06989526970770621,24,temporal_off
103,fold_04,-0.014824204165144466,24,temporal_off
103,fold_05,0.025192186518013887,19,temporal_off
104,fold_01,0.051987868311202924,24,temporal_off
104,fold_02,0.11518851034018862,24,temporal_off
104,fold_03,0.006491662675755447,24,temporal_off
104,fold_04,-0.025761308636415823,24,temporal_off
104,fold_05,0.02730604759608236,19,temporal_off
105,fold_01,0.015854637500029255,24,temporal_off
105,fold_02,0.057229947627655375,24,temporal_off
105,fold_03,0.04271761557950173,24,temporal_off
105,fold_04,0.016195686226139414,24,temporal_off
105,fold_05,0.02905122862291691,19,temporal_off
106,fold_01,0.021384160822455724,24,temporal_off
106,fold_02,0.06671425383218715,24,temporal_off
106,fold_03,0.06656046142458054,24,temporal_off
106,fold_04,-0.012985591048829426,24,temporal_off
106,fold_05,0.05122032999431876,19,temporal_off
107,fold_01,0.030885728659976314,24,temporal_off
107,fold_02,0.08065332058364319,24,temporal_off
107,fold_03,0.062668403396891,24,temporal_off
107,fold_04,-0.01353054287412881,24,temporal_off
107,fold_05,0.022892499383946392,19,temporal_off
108,fold_01,-0.0011619249292720846,24,temporal_off
108,fold_02,0.08776253026461057,24,temporal_off
108,fold_03,0.03862768074599159,24,temporal_off
108,fold_04,0.0387764111816891,24,temporal_off
108,fold_05,-0.0015432670721190669,19,temporal_off
109,fold_01,0.021394804885383634,24,temporal_off
109,fold_02,0.05643865934684969,24,temporal_off
109,fold_03,0.09528152480252437,24,temporal_off
109,fold_04,0.04164051329979062,24,temporal_off
109,fold_05,0.023368558124775184,19,temporal_off
