feature,development/fold_01,development/fold_02,development/fold_03,final_test/fold_01,final_test/fold_02,final_test/fold_03,final_test/fold_04,final_test/fold_05,final_test/fold_06
ff_accel_dep,True,True,True,True,True,True,True,True,True
ff_accr_exp_cf,True,True,True,True,True,True,True,True,True
ff_accr_exp_xpayr,True,True,True,True,True,True,True,True,True
ff_accr_payr,True,True,True,True,True,True,True,True,True
ff_acq_process_rd,True,True,True,True,True,True,True,True,True
ff_adj_net_oth,True,True,True,True,False,False,False,False,False
ff_adv_exp,True,True,True,True,True,True,True,True,True
ff_amort_cf,True,True,True,True,True,True,True,True,True
ff_amort_exp_lease,True,True,True,True,True,True,True,True,True
ff_amort_intang,True,True,True,True,True,True,True,True,True
ff_assets_curr_misc,True,True,True,True,True,True,True,True,True
ff_assets_curr_oth,True,True,True,True,True,True,True,True,True
ff_assets_lease_net,True,True,True,True,True,True,True,True,True
ff_assets_risk_wght,True,True,True,True,True,True,True,True,True
ff_assets_sep_accts,True,True,True,True,True,True,True,True,True
ff_bdebt,True,True,True,True,True,True,True,True,True
ff_bk_com_eq_tier1_tot,True,True,True,True,True,True,True,True,True
ff_bk_oper_exp_oth,True,True,True,True,True,True,True,True,True
ff_bk_oper_exp_tot,True,True,True,True,True,True,True,True,True
ff_bnfit_loss_rsrv_tcap,True,True,True,True,True,True,True,True,True
ff_calamitous_event,True,True,True,True,True,True,True,True,True
ff_cap_lease_curr,True,True,True,True,True,True,True,True,True
ff_cap_ratio_tier1,True,True,True,True,True,True,True,True,True
ff_cap_ratio_tot,True,True,True,True,True,True,True,True,True
ff_capex_fix_assets,True,True,True,True,True,True,True,True,True
ff_capex_oth,True,True,True,True,False,False,False,False,False
ff_cash_curr_assets,True,True,True,True,True,True,True,True,True
ff_cash_due_fr_bk,True,True,True,True,True,True,True,True,True
ff_cash_only,True,True,True,True,True,True,True,False,False
ff_cash_restr,True,True,True,True,True,True,True,True,True
ff_cash_secs_deps,True,True,True,True,True,True,True,True,True
ff_cash_st,True,True,True,True,True,True,True,True,True
ff_cogs,True,True,True,True,True,True,True,True,True
ff_cogs_sales,True,True,True,True,True,True,True,True,True
ff_cogs_xdep,True,True,True,True,True,True,True,True,True
ff_com_eq_deps,True,True,True,True,True,True,True,True,True
ff_com_eq_for_exch,True,True,True,True,True,True,True,True,True
ff_com_eq_hedg_gl,True,True,True,True,True,True,True,True,True
ff_com_eq_oth_compr_adj_oth,True,True,True,True,True,True,True,True,True
ff_com_eq_unearn_comp,True,True,True,True,True,True,True,True,True
